"tweet_id"	"query"	"word"	"th"	"ni"	"gruppe"	"adj"	"opp"	0	1	"0'"	"1'"
"t738843406533853184"	"pattern3_agenda_is_wanted_by_entity"	"@BorisJohnson Tories have had six years . Brexit is supported by the same financiers"	"t"	"t"	"t"	"t"		"the same financiers"	"Brexit"		
"t742505517076074498"	"pattern3_agenda_is_wanted_by_entity"	"Brexit is backed by people on the left , centre and right @charmaine725 @Livlonanprsper"	"t"	"t"	"t"	"t"		"people on the left , centre and right"	"Brexit"		
"t742961693895077889"	"pattern3_agenda_is_wanted_by_entity"	"#Brexit is favoured by the sort of capitalist who thinks they'll make a profit from uncertainty , unlike Rolls Royce"	"t"	"t"	"t"	"t"		"the sort of capitalist who thinks they'll make a profit from uncertainty"	"Brexit"		
"t745678866849488900"	"pattern3_agenda_is_wanted_by_entity"	"If you believed the Remain camp , Brexit is backed by Putin and Isis https://t.co/l4Mj6gCNaJ Bravo , Indy and Mary Dejevsky !"	"t"	"t"	"t"	"t"		"Putin and Isis"	"Brexit"		
"t736684070256660481"	"pattern3_agenda_is_wanted_by_entity"	"@MahyarTousi Brexit is about removing what the Right sees as interference with business freedoms - why it is backed by IDS , Farage etc"	"t"	"t"	"t"	"t"		"IDS , Farage etc"	"it"		"Brexit"
"t728633938579734528"	"pattern3_agenda_is_wanted_by_entity"	"So #Brexit is now backed by racists , human rights violators , rape apologists & fascists - another reason we're #StrongerIn👍#VoteRemain"	"t"	"t"	"t"	"t"		"racists , human rights violators , rape apologists & fascists"	"#Brexit"		
"t742699749992759296"	"pattern3_agenda_is_wanted_by_entity"	"@frawlzfans @thetominie brexit is supported by Rupert Murdoch and Donald Trump . Its obvious which is the right side of history"	"t"	"t"	"t"	"t"		"Rupert Murdoch and Donald Trump"	"brexit"		
"t745603514391396352"	"pattern3_agenda_is_wanted_by_entity"	"Brexit is largely backed by bigots who won't admit that 's what they are . Why hide your intentions behind nationalism ?"	"t"	"t"	"t"	"t"		"bigots who won't admit that 's what they are"	"Brexit"		
"t743377760886743040"	"pattern3_agenda_is_wanted_by_entity"	"@agnes_ahoy @calvinrobinson @MckKirk Yup . And the figures show that Brexit is backed by racists and lesser educated ."	"t"	"t"	"t"	"t"		"racists and lesser educated"	"Brexit"		
"t740447036902932480"	"pattern3_agenda_is_wanted_by_entity"	"@kwr66 @IrvineWelsh but Brexit is backed by return-to-poorhouse , cap-doffing Bullingdons . So . In ."	"t"	"t"	"t"	"t"		"return-to-poorhouse , cap-doffing Bullingdons"	"Brexit"		
"t741664583224590336"	"pattern3_agenda_is_wanted_by_entity"	"@Stoorie2 This Brexit lot have no policies apart from close the borders , they are supported by racists , who will beat up anyone non British"	"f"	"t"	"t"	"f"					
"t742783960749596672"	"pattern3_agenda_is_wanted_by_entity"	"The Problem with the #Brexit Campaign is that it is supported by peoples & persons in and out of ESTABLISHMENT'S who should know better !"	"f"	"t"	"t"	"t"		"peoples & persons in and out of ESTABLISHMENT'S"	"it"		"#Brexit Campaign"
"t742605809432035328"	"pattern3_agenda_is_wanted_by_entity"	"So basically #Brexit is supported by #Trump rhetoric , scaremongering , #Murdoch , racists arguments and #Putin ."	"t"	"t"	"t"	"t"		"#Trump rhetoric , scaremongering , #Murdoch , racists arguments and #Putin"	"#Brexit"		
"t729380602424770561"	"pattern3_agenda_is_wanted_by_entity"	"@haghouse @iVoteStay @PollstationUK Being promoted by #Brexit because Leave is in front ? Maybe everyone is just waking up , Nigel ?"	"f"	"f"	"f"	"f"					
"t739069781228261376"	"pattern3_agenda_is_wanted_by_entity"	"@StephenMangan Or in other words : #Brexit is backed by #TEAMEVIL ?"	"t"	"f"	"t"	"t"		"#TEAMEVIL"	"#Brexit"		
"t745237964062621697"	"pattern3_agenda_is_wanted_by_entity"	"#EURef @TEZofAllTrades You're asking people to vote #Brexit , which is supported by every UK fascist party , to fight the far-right ? Illogical"	"t"	"t"	"t"	"t"		"every UK fascist party"	"which"		"#Brexit"
"t732078209324486656"	"pattern3_agenda_is_wanted_by_entity"	"#EURef @ArchaeologyH Boris "" Hitler "" Johnson is strongly supported by the far-right #Brexit tabloids , including the #Hillsborough ones ."	"f"	"t"	"f"	"f"					
"t730068140672094208"	"pattern3_ellipsis_hoping_concept"	"Funny , they never spent this money before - hope they don't think this will swing the vote - I am still voting #Brexit @2tweetaboutit"	"f"	"t"	"t"	"t"			"they don't think this will swing the vote"	"I"	
"t739517080756719616"	"pattern3_ellipsis_hoping_concept"	"Hope you're right , given that PV fraud & other electoral ' irregularities ' will hoover up 3-5% of Leave lead ? #Brexit https://t.co/psrGY8frPr"	"t"	"t"	"t"	"t"			"you're right"		
"t745732011705278464"	"pattern3_ellipsis_hoping_concept"	"Hoping for your #Brexit It will help us all . https://t.co/ddyVRo40qB"	"f"	"t"	"t"	"t"			"your #Brexit"		
"t745357229415669760"	"pattern3_ellipsis_hoping_concept"	"Hope not Fear #BelieveInBritain Take back control + billions . This Thurs is our #IndependenceDay @BorisJohnson #Leave #EUreferendum #Brexit"	"f"	"f"	"f"	"f"					
"t745849690806226945"	"pattern3_ellipsis_hoping_concept"	"Hope that people vote to remain . Whichever way you vote do go and vote as this poll far more important than a general election ."	"t"	"t"	"t"	"t"			"people vote to remain"		
"t739754098828972032"	"pattern3_ellipsis_hoping_concept"	"See #NigelFarage has created an uproar . He forgets he has to appeal to more than core UKIP voters Hope he hasty damaged the campaign #Brexit"	"t"	"t"	"t"	"t"			"he hasty damaged the campaign"		
"t745285791061020672"	"pattern3_ellipsis_hoping_concept"	"Worried the Brexiters will win as seem keener to get out to vote . If most vote a chance we will remain . Hope so https://t.co/av50VOsyac"	"t"	"t"	"t"	"t"			"so"		"we will remain"
"t740175254362988544"	"pattern3_ellipsis_hoping_concept"	"#Brexit & #Remain democracy for My Generation ... Hope I die before I get polled ."	"t"	"t"	"t"	"t"			"I die before I get polled"		
"t737355009839538176"	"pattern3_ellipsis_hoping_concept"	"@benrileysmith @LeaveEUOfficial @christopherhope - Awful . Hope #Brexit ends not just rotten EU , but also rotten politics ! #LeaveEU"	"t"	"t"	"t"	"t"			"#Brexit ends not just rotten EU , but also rotten politics"		
"t745735519187902464"	"pattern3_ellipsis_hoping_concept"	"@Esseltee - that 's what I was wondering too ! Hope not ! I just hope it rains on #Brexit 's parade !"	"t"	"t"	"t"	"t"			"not"		
"t745735519187902464"	"pattern3_ellipsis_hoping_concept"	"@Esseltee - that 's what I was wondering too ! Hope not ! I just hope it rains on #Brexit 's parade !"	"t"	"t"	"t"	"t"		"I"	"it rains on #Brexit 's parade"		
"t745893498579259393"	"pattern3_ellipsis_hoping_concept"	"@statto if financial markets are rational and you have a concave utility function then buy today . Hope that helps"	"t"	"t"	"t"	"t"			"that helps"		
"t745311698567860224"	"pattern3_ellipsis_hoping_concept"	"The #Brexit debate is so muddled . Any1 that tells u they can predict the future is a liar . Hope the British pple make the best choice 4 them"	"t"	"t"	"t"	"t"			"the British pple make the best choice 4 them"		
"t734551869947842562"	"pattern3_ellipsis_hoping_concept"	"Not surprising #Hofer will win tonight . Hope the rest of #Europe follows suit #austrianelection #Brexit"	"t"	"t"	"t"	"t"			"the rest of #Europe follows suit"		
"t738891224929570817"	"pattern3_ellipsis_hoping_concept"	"@Hephzibah1970 tho I m not in uk I m for #Brexit too ... hope they win n change the immigration rules for non-eu people like me :-( #hope"	"t"	"t"	"t"	"t"			"they win n change the immigration rules for non-eu people like me"	"I"	
"t738891224929570817"	"pattern3_ellipsis_hoping_concept"	"@Hephzibah1970 tho I m not in uk I m for #Brexit too ... hope they win n change the immigration rules for non-eu people like me :-( #hope"				"t"		"I"	"#Brexit"		
"t744871603415162880"	"pattern3_ellipsis_hoping_concept"	"@jonk @thatjohn jup pro Donald and pro brexit supporters look more or less the same on Twitter . Hoping for the best comes Thursday"	"f"	"t"	"t"	"f"					
"t735747785765486592"	"pattern3_ellipsis_hoping_concept"	"@bbcthisweek @FrancisBoulle @afneil Exactly why EU wants us to RemaIN . Brexit could trigger start of an exodus from failed project . Hope so !"	"t"	"t"	"t"	"t"			"so"		"Brexit could trigger start of an exodus"
"t735747785765486592"	"pattern3_ellipsis_hoping_concept"	"@bbcthisweek @FrancisBoulle @afneil Exactly why EU wants us to RemaIN . Brexit could trigger start of an exodus from failed project . Hope so !"				"t"		"EU"	"us to RemaIN"		
"t746116892167802880"	"pattern3_ellipsis_hoping_concept"	"Loads of canny Scots stayed home and ignored Sturgeon , hoping for Brexit then Indyref 2 . Smart work ."	"t"	"t"	"t"	"t"		"Loads of canny Scots"	"Brexit then Indyref 2"		
"t731235323431297025"	"pattern3_ellipsis_hoping_concept"	"@RugbySaleSharks @RugbyMHR @RugbyQuins I know it 's ridiculous ... Hope AP doesn't go same way ."	"t"	"t"	"t"	"t"			"AP doesn't go same way"		
"t741060016833171456"	"pattern3_ellipsis_hoping_concept"	"@bbcquestiontime @eddieizzard Clueless , did Brexit a big favour , hope we hear more of his shite ."	"t"	"t"	"t"	"t"			"we hear more of his shite"		
"t745610359717847040"	"pattern3_ellipsis_hoping_concept"	"Hoping to see S&P2098 again so can Short ( again ) but unlikely imo . Think tepid meandering trade day thanks to Yellen & Brexit vote . zzzz"	"t"	"t"	"t"	"t"			"see S&P2098 again"		
"t741022377618878464"	"pattern3_ellipsis_hoping_concept"	"Lord Alan Sugar supports Remain in the Hope Another of His apprentices becomes a Baroness . #Brexit #VoteLeave https://t.co/bsDOHt0b0H"	"t"	"t"	"t"	"t"		"Lord Alan Sugar"	"Another of His apprentices becomes a Baroness"		
"t741022377618878464"	"pattern3_ellipsis_hoping_concept"	"Lord Alan Sugar supports Remain in the Hope Another of His apprentices becomes a Baroness . #Brexit #VoteLeave https://t.co/bsDOHt0b0H"				"t"		"Lord Alan Sugar"	"Remain"		
"t741394295094140928"	"pattern3_ellipsis_hoping_concept"	"Unhappy with Jeremy Corbyn 's profile during the #brexit debate . Hope he can raise the game in the coming weeks . He could be key #remain"	"t"	"t"	"t"	"t"			"he can raise the game"		
"t745747683797766144"	"pattern3_ellipsis_hoping_concept"	"@RobHudsonPhoto But I have just seen what Shelia Hancock has just said & very intelligent and measured - hope our politicians were watching"	"t"	"t"	"t"	"t"			"our politicians were watching"		
"t739754612593467392"	"pattern3_ellipsis_hoping_concept"	"#Selby #Yorkshire #MichaelGove Project Hope #UKIP Leave Chairman today Newspaper stopped publishing my letters Nearly all here want #Brexit"	"t"	"t"	"t"	"t"		"Nearly all here"	"#Brexit"		
"t732337486362337280"	"pattern3_ellipsis_hoping_concept"	"Have you heard about "" Hug a Brit ""? Hoping to dissuade voters from voting 4 Brexit , EU supporters spreading love by sharing hugs . Sooo unBrit"	"t"	"t"	"t"	"t"			"dissuade voters from voting"	"EU supporters"	
"t743462100664721409"	"pattern3_entity_be_concept_supporter"	"Sad commentary on our times that my initial thoughts were I wouldn't be surprised if it was a crazed Brexit supporter ."	"t"	"t"	"t"	46		"it"	"Brexit"		
"t742623496442937344"	"pattern3_entity_be_concept_supporter"	"He seems to have forgotten his father was a #Brexit supporter . https://t.co/V99FbY8f7I"	"t"	"t"	"t"	46		"his father"	"#Brexit"		
"t744786245172101121"	"pattern3_entity_be_concept_supporter"	"Or maybe not , not seeing anything in tweet which suggests she was a brexit supporter ?!"	"t"	"t"	"t"	46		"she"	"brexit"		
"t744133806681112576"	"pattern3_entity_be_concept_supporter"	"@BBCBreaking @joneyi1 Sounds as if this guy is a Brexit supporter . Could be ."	"t"	"t"	"t"	46		"this guy"	"Brexit"		
"t746054391833182208"	"pattern3_entity_be_concept_supporter"	"only because that Englishman is a Brexit supporter because "" immigrants and refugees assaulting our women "" yeah ok bye"	"t"	"t"	"t"	46		"that Englishman"	"Brexit"		
"t738989950398529536"	"pattern3_entity_be_concept_supporter"	"How long will Boris Johnson wait to namecheck Mohammed Ali as a Brexit supporter ? #übergaff #bojosweepstake"	"t"	"t"	"t"	46		"Mohammed Ali"	"Brexit"		
"t742531043723468800"	"pattern3_entity_be_concept_supporter"	"Says the man who thinks Dennis Skinner is a BNP supporter for backing Brexit @WadjaKnow @DickMackintosh @sonofanders121"	"t"	"t"	"t"	"f"		"Dennis Skinner"	"BNP"		
"t743208825365401600"	"pattern3_entity_be_concept_supporter"	"@LeeLeeOystonOut I take it you are a corbyn supporter ? That man has done a U-turn he 's wanted us out for 30 years"	"t"	"t"	"t"	"t"		"he"	"us out"	"corbyn"	
"t743870880124665856"	"pattern3_entity_be_concept_supporter"	"Vile BBC busy getting stuck into labelling Jo 's Cox 's killer as a #Brexit supporter . Shameful use of the poor woman 's death ."	"t"	"t"	"t"	46		"Jo 's Cox 's killer"	"#Brexit"		
"t728570393104015361"	"pattern3_entity_be_concept_supporter"	"If I were a #Brexit supporter , I would think twice after seeing that Trump , yes Trump , supports it too ! https://t.co/aWlBVsfu6j"	"t"	"t"	"t"	46		"I"	"#Brexit"		
"t728570393104015361"	"pattern3_entity_be_concept_supporter"	"If I were a #Brexit supporter , I would think twice after seeing that Trump , yes Trump , supports it too ! https://t.co/aWlBVsfu6j"				"t"		"Trump"	"it"		"#Brexit"
"t741235767431864320"	"pattern3_entity_be_concept_supporter"	"@rachaelvenables @LBC the queen is def a Brexit supporter , BUT she cant state this AND CANT VOTE"	"t"	"t"	"t"	46		"the queen"	"Brexit"		
"t741343610587734016"	"pattern3_entity_be_concept_supporter"	"As great as he is @afneil cannot lay a glove on Nigel Farage . We all know Andrew is a #Brexit supporter . He simply wasn't convinced !"	"t"	"t"	"t"	46		"Andrew"	"#Brexit"		
"t735122123065327616"	"pattern3_entity_be_concept_supporter"	"@acerame @santanderuk Wise advice . Though for a second I thought you were another Brexit supporter trolling me again !"	"t"	"t"	"t"	46		"you"	"Brexit"		
"t741000509125971969"	"pattern3_entity_be_concept_supporter"	"I am a Nicola fan , if #Brexit happens I am moving to Scotland #ITVEURef https://t.co/V2RlClINLS"	"t"	"t"	"t"	"f"					
"t742404958239096834"	"pattern3_entity_be_concept_supporter"	"@Sheanderthal @frampton_harry @TeleWonderWomen @mclortie Sorry to hear you are a Brexit supporter . You are making a mistake ."	"t"	"t"	"t"	46		"you"	"Brexit"		
"t740042720857718784"	"pattern3_entity_be_concept_supporter"	"@UKIPNFKN it 's the post-brexit WW3 apocalypse and we live underwater ! #brexit #leaveEU #year300 #cameronBUSTED He was their no1 fan in EU !"	"t"	"t"	"t"	"f"					
"t734692950169489410"	"pattern3_entity_be_concept_supporter"	"I'd watch that vote really carefully if I were a Brexit supporter ... https://t.co/Y41J42qVeU"	"t"	"t"	"t"	46		"I"	"Brexit"		
"t735760376004939777"	"pattern3_entity_be_concept_supporter"	"Our prime minister is secretly a Brexit supporter apparently .. so why campaign for staying in ? It shows he 's not in control"	"t"	"t"	"t"	46		"our prime minister"	"Brexit"		
"t744896156925370368"	"pattern3_entity_be_concept_supporter"	"As a former stray/refugee & believer of tolerance & inclusion Bella is a firm supporter of #CatsAgainstBrexit https://t.co/zwEWbH4r9i"	"t"	"t"	"t"	46		"Bella"	"#CatsAgainstBrexit"		
"t742631179640274944"	"pattern3_entity_be_concept_supporter"	"@northstand88 LOL Well I am not a Cameron fan but political parties , @UKLabour , need to respond to events not hide behind sofa"	"t"	"t"	"t"	"f"					
"t743548933918568448"	"pattern3_entity_be_concept_supporter"	"@Alex_McNamara you don't know he was a Brexit supporter . The claim of "" Britain First "" shout has been disproven . 1/2"	"t"	"t"	"t"	46		"he"	"Brexit"		
"t739891743466885122"	"pattern3_entity_be_concept_supporter"	"If I didn't know better ... I think #HilaryBenn is a #brexit supporter ! #AndrewNeil"	"t"	"t"	"t"	46		"#HilaryBenn"	"#brexit"		
"t735055603182100482"	"pattern3_entity_be_concept_supporter"	"The Who 's Roger Daltrey is a #Brexit supporter : https://t.co/lLkVSBoYIb"	"t"	"t"	"t"	46		"The Who 's Roger Daltrey"	"#Brexit"		
"t745617267359096833"	"pattern3_entity_be_concept_supporter"	"@NetworksManager @col_nj I totally agree . I am no Clinton supporter at all . The principle does not hold with artificial wage increases ."	"t"	"t"	"t"	46	"x"	"I"	"Clinton"		
"t734356868341075969"	"pattern3_entity_be_concept_supporter"	"@vote_leave Bloody hard work being a Brexit supporter , I've got this horrible churning feeling in my stomach . Had it for weeks #Brexit"	"t"	"t"	"t"	46			"Brexit"	"I"	
"t741402008113012736"	"pattern3_entity_comes_out_for_formula"	"@GeorgeAylett @RadInconsistent @sqlblues Sir Stuart Rose has just jacked it , Lord Bamford , and Lord Dyson have come out for BREXIT"	"t"	"t"	"t"	"t"		"Lord Bamford , and Lord Dyson"	"BREXIT"		
"t742770448614760448"	"pattern3_entity_comes_out_for_formula"	"@TheSun - The Sun News Paper Comes Out For LEAVE The EU Brexit . Wonderful News ! https://t.co/lKg1rXgwoI"	"t"	"t"	"t"	"t"		"The Sun News Paper"	"LEAVE The EU Brexit"		
"t745430833104719872"	"pattern3_entity_comes_out_for_formula"	"Daniel Craig , Eon co-bosses come out against Brexit https://t.co/sC3HTCihYG #remain #BarbaraBroccoli #MichaelGWilson https://t.co/XYDFfIf0UO"	"t"	"t"	"t"	"t"	"x"	"Daniel Craig , Eon co-bosses"	"Brexit"		
"t742627086595166208"	"pattern3_entity_comes_out_for_formula"	"The Sun has come out for the ' Leave ' side as polls point to a Brexit ( via @thejournal_ie ) https://t.co/29xOiL0WqI #brexit #EUref"	"t"	"t"	"t"	"f"					
"t744290515579965440"	"pattern3_entity_comes_out_for_formula"	"The Sunday Times comes out for Brexit while the Mail on Sunday endorses Remain ?! This is all too bizarre and counter-initiative for words ."	"t"	"t"	"t"	"t"		"The Sunday Times"	"Brexit"		
"t743382565604720640"	"pattern3_entity_comes_out_for_formula"	"@RedHotSquirrel Oh no , I didn't realise he had come out for Brexit ?"	"t"	"t"	"t"	"t"		"he"	"Brexit"		
"t730806405645643777"	"pattern3_entity_comes_out_for_formula"	"#BankofEngland comes out against Brexit - economic migrant Mark Carney speaks out ;-)"	"t"	"t"	"t"	"t"	"x"	"#BankofEngland"	"Brexit"		
"t733377964193222657"	"pattern3_entity_comes_out_for_formula"	"#PaxmanInBrussels I think Paxo is coming out for #Brexit the way he says Brussels & foreigners gives the game away like the way I say Tory"	"t"	"t"	"t"	"t"		"Paxo"	"#Brexit"		
"t735008729687543808"	"pattern3_entity_comes_out_for_formula"	"@ShaunGunner I completely agree . And the need for "" balance "" obscures that there are far more new people coming out for #Remain than #Brexit"	"t"	"t"	"t"	"t"		"new people"	"#Remain"		
"t744839793935159297"	"pattern3_entity_comes_out_for_formula"	"Birmingham Mail comes out for Remain . For context Birmingham by far largest single voting area in #EUref (≈ 700,000 ) https://t.co/f4wnIUTEfx"	"t"	"t"	"t"	"t"		"Birmingham Mail"	"Remain"		
"t741021480876662784"	"pattern3_entity_comes_out_for_formula"	"Labour MP John Mann Comes Out For Brexit https://t.co/lLwsk5r8gE Cameron 's set up , back fired again . One all Sarah Wollaston . #johnmann"	"t"	"t"	"t"	"t"		"Labour MP John Mann"	"Brexit"		
"t729753528344915969"	"pattern3_entity_comes_out_for_formula"	"THE RIGHT CHOICE .. Crispin Blunt Comes Out For Brexit Live on Daily Politics https://t.co/WjoHGq9vup via @guidofawkes"	"t"	"t"	"t"	"t"		"Crispin Blunt"	"Brexit"		
"t741296842860843008"	"pattern3_entity_comes_out_for_formula"	"Dennis Skinner comes out for #Brexit in #EUref A very important intervention and likely to bolster Leave vote in Labour heartlands ."	"t"	"t"	"t"	"t"		"Dennis Skinner"	"#Brexit"		
"t730741261091635200"	"pattern3_entity_comes_out_for_formula"	"@bbclaurak to be fair if the Almighty came out against #Brexit , Leavers would say his ubiquity prevents him taking a national view . #Remain"	"t"	"t"	"t"	"t"	"x"	"the Almighty"	"#Brexit"		
"t742674682592284672"	"pattern3_entity_comes_out_for_formula"	"Race Is On For PM As Sun Comes Out For Brexit No surprise there #Leave #Brexit #Remain #RemainINEU https://t.co/NsBVv9J1Oj"	"t"	"t"	"t"	"t"		"Sun"	"Brexit"		
"t743711842971721728"	"pattern3_entity_comes_out_for_formula"	"I think as soon as Gove came out for #Brexit this was a foregone conclusion ! #RemainIn https://t.co/Xlg21lzR8W"	"t"	"t"	"t"	"t"		"Gove"	"#Brexit"		
"t745236492512075776"	"pattern3_entity_comes_out_for_formula"	"David Beckham has come out against Brexit and all other Pokemon bad guys ."	"t"	"t"	"t"	"t"	"x"	"David Beckham"	"Brexit and all other Pokemon bad guys"		
"t741317517239541760"	"pattern3_entity_comes_out_for_formula"	"Let 's hope @jeremycorbyn will come out for his principles . The nation will respect him #EURef #Brexit #VoteLeave https://t.co/3Ip37bg5nV"	"f"	"t"	"t"	"t"			"@jeremycorbyn will come out for his principles"		
"t741425005435748353"	"pattern3_entity_comes_out_for_formula"	"Beast of Bolsover comes out for Brexit https://t.co/GkZMlGZM2g #euref"	"t"	"t"	"t"	"t"		"Beast of Bolsover"	"Brexit"		
"t733546093087100928"	"pattern3_entity_comes_out_for_formula"	"Edward Fox comes out for Brexit https://t.co/xk40ZPnFmC"	"t"	"t"	"t"	"t"		"Edward Fox"	"Brexit"		
"t743930741608845312"	"pattern3_entity_comes_out_for_formula"	"I see the Times is coming out for in tomorrow . If you see what I mean . #Brexit"	"t"	"t"	"t"	"t"		"the Times"	"in"		
"t731603219445616640"	"pattern3_entity_comes_out_for_formula"	"In tomorrow 's @DailyMailUK , former Archbishop of Canterbury Lord Carey comes out for #Brexit - Hallelujah !"	"t"	"t"	"t"	"t"		"former Archbishop of Canterbury Lord Carey"	"#Brexit"		
"t732219866145509377"	"pattern3_entity_comes_out_for_formula"	"#brexitthemovie Over 300 Business Leaders Come Out For Brexit , Saying EU ' Stifles ' British Enterprise https://t.co/y6IqUEkA2Y via @Breitbart"	"t"	"t"	"t"	"t"		"Over 300 Business Leaders"	"Brexit"		
"t745618655480774656"	"pattern3_entity_comes_out_for_formula"	"Little Britain star comes out against Big Brexit . https://t.co/NBn0nkFB0y"	"t"	"t"	"t"	"t"	"x"	"Little Britain star"	"Big Brexit"		
"t743954135335084033"	"pattern3_entity_comes_out_for_formula"	"@SCynic1 "" Senior general Lord Guthrie comes out for Brexit "" Another loony , I suppose ? Should one be ashamed of sharing his position ?"	"t"	"t"	"t"	"t"		"Senior general Lord Guthrie"	"Brexit"		
"t740163421027610624"	"pattern3_entity_have_desire_for_formula"	"This man had ambitions to take the country with him .... Oh yes and still that ambition ... Down the "" Pan "" #Brexit https://t.co/lepIxIFRfs"	"t"	"t"	"t"	"t"		"This man"	"take the country with him"		
"t735006101356326912"	"pattern3_entity_have_desire_for_formula"	"@ProfBrianCox these polls are bizarre , are they from a cross section of 100 people !? Everyone I know and work with want to leave !!"	"t"	"t"	"t"	"t"		"Everyone I know and work with"	"leave"		
"t731393701046550528"	"pattern3_entity_have_desire_for_formula"	"@LeaveEUOfficial The EU is a gravy train . That 's why Cameron has ambitions to stay part of it . An excellent retirement plan !! #VoteLeave"	"t"	"t"	"t"	"t"		"Cameron"	"to stay part of it"		
"t744688460741566466"	"pattern3_entity_have_desire_for_formula"	"“ we don’t have an ‘ exit ’ post vote . If it was ‘ leave ’ we have an intention to do that one day down the track of unspecified timing ” #Brexit"	"t"	"t"	"t"	"t"		"we"	"to do that one day"		"leave"
"t730741769420296193"	"pattern3_entity_have_desire_for_formula"	"@Washa19 No . The fact is , if the Commons has the will the Lords can't stop a bill . The Commons can't however stop a bill passed by the EC ."	"f"	"f"	"f"	"f"					
"t743017582358368256"	"pattern3_entity_have_desire_for_formula"	"@MichaelPDeacon Sounds like @Brexit have ambitions to extend the boundaries of Europe . Now that is worrying ."	"t"	"t"	"t"	"t"		"@Brexit"	"to extend the boundaries of Europe"		
"t743848459149598720"	"pattern3_entity_have_desire_for_formula"	"What is it with wishing for a past that never existed ? #Brexit #Trump2016"	"f"	"f"	"f"	"f"					
"t743437330137157632"	"pattern3_entity_have_desire_for_formula"	"@NoThankEU2016 Fix your avatar you uneducated twit And for the record we in Ireland have wished for Brexit for many centuries"	"t"	"t"	"t"	"t"		"we in Ireland"	"Brexit"		
"t745698531072040960"	"pattern3_entity_have_desire_for_formula"	"@AmbJohnBolton you are absolutely right . Ever since Napoleon , Europe has wanted to dominate Britain . #Brexit will stomp that out for good ."	"t"	"t"	"t"	"t"		"Europe"	"to dominate Britain"		
"t729314481197690880"	"pattern3_entity_have_desire_for_formula"	"@SeanWood78 @SkyNews Not if we #Brexit - that could give border control back very quickly if government had the will to act ."	"t"	"t"	"t"	"t"		"government"	"to act"		
"t745345812255940608"	"pattern3_entity_have_desire_for_formula"	"Sadiq , China have told us that they have want to be front of the queue for a free trade agreement . #greatdebate #voteleave #brexit"	"t"	"t"	"t"	"t"		"they"	"to be front of the queue for a free trade agreement"	"China"	
"t742689230305001473"	"pattern3_entity_have_desire_for_formula"	"If government had wanted to have Article 50 triggered automatically with a Leave vote , they could have legislated this . They chose not to ."	"t"	"t"	"t"	"t"		"government"	"to have Article 50 triggered automatically with a Leave vote"		
"t745180820722245632"	"pattern3_entity_have_desire_for_formula"	"#immigration . Cameron having ambition for low numbers is not the same as controlling the flow . he lies . Vote #leaveeu and seek #brexit ."	"t"	"t"	"t"	"t"		"Cameron"	"low numbers"		
